V,Np,B,Tp,Texp/Tp,Pdyn,logBeta,B_rms,Time
336.9328,4.98,2.7563925,40668.0,0.65500516,1.13,0.67117286,0.16,2020-07-10 16:45:00
333.92926,4.9,2.9130225,40168.0,0.64492834,1.09,0.60097295,0.08,2020-07-10 16:50:00
335.01254,4.69,3.0339084,38333.0,0.68264914,1.06,0.54777473,0.05,2020-07-10 16:55:00
340.51205,4.59,2.4721043,37674.0,0.7307048,1.07,0.53147894,0.04,2020-07-10 17:00:00
348.01392,4.66,3.072849,39169.0,0.7521474,1.13,0.5289167,0.03,2020-07-10 17:05:00
347.92673,4.71,3.1017575,39459.0,0.7460374,1.14,0.5237465,0.1,2020-07-10 17:10:00
355.50577,4.62,3.1933057,38788.0,0.81160265,1.17,0.4941546,0.01,2020-07-10 17:15:00
353.80502,4.63,3.1903133,38650.0,0.8024317,1.16,0.4969297,0.03,2020-07-10 17:20:00
351.2039,4.61,3.2138138,37396.0,0.81050605,1.14,0.48144266,0.03,2020-07-10 17:25:00
349.20416,4.5,3.1810377,37485.0,0.7943355,1.1,0.4871384,0.02,2020-07-10 17:30:00
352.01038,4.56,3.1635582,39707.0,0.76880354,1.13,0.49968714,0.04,2020-07-10 17:35:00
355.02164,4.53,3.1448052,40086.0,0.7819982,1.14,0.5065051,0.02,2020-07-10 17:40:00
357.60373,4.27,2.787741,37268.0,0.8603193,1.09,0.4756712,0.03,2020-07-10 17:45:00
353.11206,4.56,2.9186983,39943.0,0.7717317,1.14,0.50242716,0.06,2020-07-10 17:50:00
346.1282,4.48,3.0778077,38420.0,0.75395006,1.07,0.47856653,0.01,2020-07-10 17:55:00
347.2443,4.54,3.2010937,36762.0,0.7958904,1.1,0.48144266,0.02,2020-07-10 18:00:00
346.54376,4.58,3.1881185,36495.0,0.796689,1.1,0.48855072,0.01,2020-07-10 18:05:00
346.5447,4.51,3.2193944,35748.0,0.81334364,1.08,0.47129175,0.01,2020-07-10 18:10:00
343.71066,4.56,3.3100758,35860.0,0.79033965,1.08,0.45178646,0.05,2020-07-10 18:15:00
343.61,4.61,3.2953453,36623.0,0.7731683,1.09,0.46389303,0.03,2020-07-10 18:20:00
344.4319,4.6,3.3263946,34688.0,0.8223916,1.09,0.44715804,0.01,2020-07-10 18:25:00
344.8366,4.52,3.3046331,34785.0,0.8231018,1.07,0.44715804,0.02,2020-07-10 18:30:00
345.84027,4.57,3.3141515,35318.0,0.81804794,1.09,0.45331836,0.02,2020-07-10 18:35:00
343.0472,4.45,3.3360605,33783.0,0.83389944,1.05,0.42813483,0.02,2020-07-10 18:40:00
343.9493,4.31,3.3766997,32422.0,0.8760375,1.02,0.40312052,0.02,2020-07-10 18:45:00
346.05124,3.96,3.3985586,30940.0,0.93557584,0.95,0.3598355,0.01,2020-07-10 18:50:00
342.0499,4.53,3.3335116,32797.0,0.8512195,1.06,0.43456894,0.04,2020-07-10 18:55:00
341.93564,4.41,3.4101906,32452.0,0.85937476,1.03,0.4065402,0.04,2020-07-10 19:00:00
341.73492,4.47,3.3736033,32845.0,0.84754145,1.04,0.41664052,0.01,2020-07-10 19:05:00
341.4459,4.59,3.348268,33842.0,0.8204086,1.07,0.4424798,0.02,2020-07-10 19:10:00
343.8691,4.6,3.2206364,34732.0,0.8171793,1.09,0.4756712,0.01,2020-07-10 19:15:00
341.63083,4.67,3.155218,34994.0,0.7947393,1.09,0.49554437,0.03,2020-07-10 19:20:00
340.4388,4.85,3.1155577,37068.0,0.7421533,1.12,0.53402615,0.01,2020-07-10 19:25:00
339.6416,4.97,3.1081505,36786.0,0.7424046,1.15,0.5465427,0.01,2020-07-10 19:30:00
339.82053,4.93,3.0968854,39032.0,0.7008328,1.14,0.5526682,0.01,2020-07-10 19:35:00
340.3151,4.82,3.129904,37210.0,0.7384852,1.12,0.5289167,0.01,2020-07-10 19:40:00
340.42297,4.69,3.1416078,32818.0,0.83814234,1.09,0.48000696,0.08,2020-07-10 19:45:00
341.12927,4.51,3.3843317,30844.0,0.8975556,1.05,0.41497335,0.02,2020-07-10 19:50:00
340.44516,4.49,3.3869603,30944.0,0.8890816,1.04,0.41329977,0.01,2020-07-10 19:55:00
339.06046,4.58,3.339985,30265.0,0.8975677,1.05,0.43456894,0.09,2020-07-10 20:00:00
337.86026,4.77,3.2209005,31315.0,0.8579489,1.09,0.48287362,0.02,2020-07-10 20:05:00
336.5491,4.94,3.1902037,30262.0,0.8771207,1.12,0.5065051,0.02,2020-07-10 20:10:00
335.94943,4.84,3.2345788,30524.0,0.8647778,1.09,0.48429987,0.01,2020-07-10 20:15:00
336.0443,4.77,3.273255,30290.0,0.8722248,1.08,0.46834734,0.04,2020-07-10 20:20:00
335.85986,4.81,3.3577523,29990.0,0.8794455,1.09,0.4424798,0.04,2020-07-10 20:25:00
335.45367,4.7,3.409604,27899.0,0.9418046,1.06,0.41830128,0.03,2020-07-10 20:30:00
335.33487,4.65,3.4513764,28378.0,0.9248871,1.04,0.4065402,0.03,2020-07-10 20:35:00
335.46606,4.65,3.4348507,26987.0,0.97374374,1.05,0.39794004,0.04,2020-07-10 20:40:00
335.64233,4.49,3.4817955,29032.0,0.9066352,1.01,0.37839794,0.05,2020-07-10 20:45:00
333.01953,4.61,3.4157867,27253.0,0.94251686,1.02,0.39794004,0.03,2020-07-10 20:50:00
333.5186,4.59,3.4318945,27570.0,0.93603295,1.02,0.39269698,0.04,2020-07-10 20:55:00
333.72293,4.69,3.4160063,26262.0,0.98452824,1.05,0.40993312,0.02,2020-07-10 21:00:00
333.3221,4.68,3.402793,27423.0,0.93932587,1.04,0.41497335,0.06,2020-07-10 21:05:00
331.90695,4.78,3.324846,26756.0,0.950075,1.06,0.44404483,0.01,2020-07-10 21:10:00
329.80908,4.77,3.3163986,27077.0,0.9204625,1.04,0.44404483,0.03,2020-07-10 21:20:00
330.20572,4.82,3.3223786,27537.0,0.90847933,1.05,0.45178646,0.01,2020-07-10 21:25:00
329.814,4.74,3.4256387,27459.0,0.9076995,1.03,0.4199558,0.04,2020-07-10 21:35:00
330.0255,4.64,3.4929786,26808.0,0.93159926,1.01,0.38738984,0.01,2020-07-10 21:45:00
328.43158,4.86,2.2524877,32778.0,0.75052595,1.05,0.5575072,0.25,2020-07-10 21:50:00
332.41882,4.73,2.274577,31699.0,0.8057808,1.05,0.4913617,0.21,2020-07-10 21:55:00
333.61334,4.11,2.627965,29764.0,0.86780196,0.92,0.4899585,0.11,2020-07-10 22:00:00
328.30014,4.74,3.1790092,38478.0,0.63854957,1.02,0.4969297,0.06,2020-07-10 22:05:00
330.00748,4.54,2.779892,42670.0,0.58519024,0.99,0.52113813,0.08,2020-07-10 22:10:00
337.0275,4.2,3.2022803,38049.0,0.7007033,0.95,0.4456042,0.05,2020-07-10 22:15:00
331.6137,4.29,3.2041378,39941.0,0.6346952,0.94,0.45484486,0.03,2020-07-10 22:20:00
330.81754,4.18,3.2738051,42817.0,0.58764905,0.92,0.42813483,0.04,2020-07-10 22:25:00
336.99533,4.25,3.3090632,38185.0,0.69800025,0.96,0.41497335,0.03,2020-07-10 22:30:00
334.3503,4.28,3.3147852,38062.0,0.68328774,0.96,0.4199558,0.05,2020-07-10 22:35:00
334.4171,4.28,3.2992423,37304.0,0.69760555,0.96,0.41830128,0.03,2020-07-10 22:40:00
336.78387,4.21,3.3753223,39230.0,0.6780809,0.96,0.40993312,0.02,2020-07-10 22:45:00
335.7535,4.22,3.350373,38500.0,0.6843786,0.95,0.42160395,0.02,2020-07-10 22:50:00
334.911,4.53,3.303256,40898.0,0.6392319,1.02,0.47421628,0.04,2020-07-10 22:55:00
330.9209,4.39,3.34003,50181.0,0.5019002,0.96,0.4578819,0.02,2020-07-10 23:00:00
327.20596,4.38,3.3117518,42166.0,0.57667524,0.94,0.45178646,0.02,2020-07-10 23:05:00
326.00284,4.3,3.3337815,41848.0,0.5744321,0.92,0.43933272,0.02,2020-07-10 23:10:00
324.80093,4.22,3.3445628,41530.0,0.57221323,0.89,0.4297523,0.02,2020-07-10 23:15:00
326.40817,4.0,3.3930223,42421.0,0.5688691,0.85,0.38738984,0.01,2020-07-10 23:20:00
323.23288,4.05,3.2647972,49171.0,0.47606698,0.85,0.4199558,0.09,2020-07-10 23:25:00
